ID,Brand,Category,Color,Material,Style,Gender,Season,Price(USD),Popularity_Score,Customer_Rating,Trend_Status,price_category
1,Adidas,Gloves,Brown,Polyester,Streetwear,Women,Winter 2025,244.06,6.0,4.9,Trending,Budget
2,Gucci,Gloves,Red,Leather,Sporty,Men,Winter 2023,366.73,8.8,3.3,Trending,Mid-range
3,H&M,Coat,Brown,Fleece,Streetwear,Unisex,Winter 2025,741.55,4.8,3.5,Trending,Expensive
4,North Face,Coat,Blue,Cashmere,Formal,Men,Winter 2024,116.09,7.5,3.1,Outdated,Budget
5,Mango,Thermal,Blue,Cashmere,Formal,Unisex,Winter 2025,193.16,7.8,4.3,Outdated,Budget
6,Uniqlo,Thermal,Black,Fleece,Formal,Unisex,Winter 2025,699.85,1.7,4.2,Outdated,Expensive
7,Uniqlo,Coat,Gray,Fleece,Casual,Men,Winter 2025,497.79,9.7,3.0,Trending,Premium
8,Mango,Sweater,Cream,Cotton,Streetwear,Unisex,Winter 2025,579.37,6.6,3.8,Outdated,Premium
9,Gucci,Gloves,Brown,Cotton,Casual,Unisex,Winter 2024,315.96,6.2,2.8,Outdated,Mid-range
10,Mango,Scarf,Maroon,Leather,Luxury,Unisex,Winter 2023,468.58,2.5,4.9,Classic,Premium
11,Gucci,Beanie,Gray,Cotton,Sporty,Unisex,Winter 2023,452.18,3.3,2.6,Outdated,Premium
12,Adidas,Scarf,Green,Polyester,Streetwear,Women,Winter 2024,568.66,2.6,3.1,Emerging,Premium
13,Zara,Cardigan,Beige,Cashmere,Luxury,Men,Winter 2023,532.17,1.2,2.5,Trending,Premium
14,Mango,Thermal,Beige,Cashmere,Streetwear,Men,Winter 2025,95.96,2.4,3.3,Classic,Budget
15,Uniqlo,Gloves,Brown,Cashmere,Formal,Unisex,Winter 2025,735.62,5.8,4.0,Classic,Expensive
16,Uniqlo,Scarf,Brown,Wool,Formal,Women,Winter 2023,52.28,3.9,3.7,Classic,Budget
17,H&M,Jacket,White,Fleece,Formal,Men,Winter 2023,694.54,6.2,3.1,Emerging,Expensive
18,Adidas,Cardigan,White,Leather,Casual,Men,Winter 2025,779.5,2.5,4.3,Trending,Expensive
19,Mango,Cardigan,Gray,Cashmere,Luxury,Women,Winter 2025,640.65,8.4,4.1,Outdated,Expensive
20,Prada,Sweater,Beige,Wool,Streetwear,Women,Winter 2024,702.19,6.4,3.2,Outdated,Expensive
21,Prada,Coat,Red,Fleece,Formal,Unisex,Winter 2024,586.84,6.4,4.7,Emerging,Premium
22,Gucci,Coat,Black,Leather,Streetwear,Unisex,Winter 2025,134.66,4.7,3.3,Outdated,Budget
23,North Face,Hoodie,Beige,Cotton,Casual,Unisex,Winter 2025,143.48,6.5,4.5,Emerging,Budget
24,Mango,Thermal,Gray,Cotton,Casual,Unisex,Winter 2023,359.6,5.1,2.9,Outdated,Mid-range
25,North Face,Jacket,Brown,Cashmere,Sporty,Men,Winter 2025,657.77,4.8,4.4,Emerging,Expensive
26,Mango,Sweater,Cream,Polyester,Sporty,Women,Winter 2023,628.75,9.3,2.9,Emerging,Premium
27,Levi's,Scarf,Maroon,Polyester,Luxury,Men,Winter 2024,146.36,2.6,3.6,Outdated,Budget
28,Adidas,Thermal,Black,Wool,Casual,Men,Winter 2023,742.55,9.5,3.8,Trending,Expensive
29,Prada,Jacket,Black,Cashmere,Streetwear,Unisex,Winter 2023,269.24,1.3,3.5,Classic,Budget
30,Mango,Hoodie,Black,Down,Streetwear,Men,Winter 2025,737.02,7.7,3.5,Outdated,Expensive
31,H&M,Beanie,Beige,Polyester,Sporty,Men,Winter 2025,716.93,8.6,4.1,Trending,Expensive
32,North Face,Sweater,Black,Cashmere,Sporty,Men,Winter 2024,730.08,6.0,3.4,Emerging,Expensive
33,North Face,Scarf,Red,Fleece,Casual,Unisex,Winter 2025,380.94,9.0,4.4,Emerging,Mid-range
34,Prada,Thermal,Red,Wool,Streetwear,Men,Winter 2025,442.34,8.5,3.0,Emerging,Mid-range
35,North Face,Hoodie,Gray,Cotton,Sporty,Women,Winter 2024,658.41,1.3,4.1,Classic,Expensive
36,Mango,Thermal,Blue,Polyester,Formal,Women,Winter 2025,441.74,2.7,4.8,Classic,Mid-range
37,Gucci,Scarf,Cream,Fleece,Formal,Men,Winter 2024,461.34,3.0,2.9,Classic,Premium
38,Mango,Sweater,Gray,Cashmere,Streetwear,Men,Winter 2024,338.89,7.9,3.0,Classic,Mid-range
39,Gucci,Scarf,Brown,Down,Luxury,Unisex,Winter 2023,678.23,6.6,4.3,Outdated,Expensive
40,Gucci,Beanie,White,Down,Luxury,Women,Winter 2025,645.24,8.0,4.7,Classic,Expensive
41,Zara,Cardigan,Cream,Cotton,Streetwear,Men,Winter 2024,384.3,4.9,3.5,Emerging,Mid-range
42,North Face,Hoodie,Gray,Fleece,Luxury,Women,Winter 2024,248.0,8.6,2.8,Classic,Budget
43,Zara,Beanie,Blue,Leather,Sporty,Women,Winter 2023,399.37,9.2,3.8,Classic,Mid-range
44,Gucci,Sweater,Beige,Cashmere,Streetwear,Women,Winter 2024,233.34,3.0,4.4,Trending,Budget
45,Nike,Beanie,Blue,Wool,Sporty,Women,Winter 2023,710.14,4.0,4.5,Outdated,Expensive
46,H&M,Sweater,Gray,Leather,Streetwear,Unisex,Winter 2025,328.83,7.0,4.6,Trending,Mid-range
47,Gucci,Thermal,Maroon,Cotton,Luxury,Unisex,Winter 2024,530.44,3.7,3.3,Classic,Premium
48,Zara,Beanie,Brown,Fleece,Sporty,Men,Winter 2023,118.72,9.3,2.8,Emerging,Budget
49,Nike,Gloves,Brown,Cotton,Casual,Women,Winter 2023,77.51,6.9,3.4,Trending,Budget
50,Nike,Boots,Blue,Cashmere,Sporty,Unisex,Winter 2023,414.74,9.4,3.0,Trending,Mid-range
51,Zara,Gloves,Black,Down,Casual,Unisex,Winter 2024,318.42,9.4,4.7,Outdated,Mid-range
52,H&M,Hoodie,Beige,Leather,Formal,Unisex,Winter 2025,632.31,8.4,4.7,Trending,Expensive
53,Nike,Scarf,Blue,Wool,Luxury,Men,Winter 2025,239.64,2.4,3.0,Trending,Budget
54,Prada,Coat,Black,Wool,Formal,Men,Winter 2024,788.03,6.1,3.2,Emerging,Expensive
55,North Face,Sweater,Black,Wool,Luxury,Men,Winter 2025,100.02,3.1,4.4,Outdated,Budget
56,Prada,Boots,Beige,Cotton,Formal,Men,Winter 2023,342.14,5.2,2.8,Outdated,Mid-range
57,Uniqlo,Coat,Black,Leather,Sporty,Women,Winter 2023,747.33,1.8,5.0,Trending,Expensive
58,Prada,Jacket,Green,Cotton,Streetwear,Unisex,Winter 2024,106.07,3.7,4.1,Trending,Budget
59,North Face,Cardigan,Beige,Polyester,Luxury,Men,Winter 2024,316.58,4.9,2.6,Trending,Mid-range
60,Zara,Jacket,Green,Cashmere,Sporty,Unisex,Winter 2023,63.68,9.7,4.4,Trending,Budget
61,Mango,Thermal,Red,Cashmere,Sporty,Unisex,Winter 2025,350.2,7.8,3.8,Outdated,Mid-range
62,H&M,Thermal,Gray,Polyester,Sporty,Unisex,Winter 2023,389.24,6.4,4.7,Outdated,Mid-range
63,Prada,Cardigan,Black,Wool,Casual,Women,Winter 2025,79.86,2.6,4.5,Emerging,Budget
64,Nike,Boots,Red,Down,Streetwear,Unisex,Winter 2024,385.11,3.2,2.6,Emerging,Mid-range
65,Prada,Jacket,Cream,Leather,Formal,Unisex,Winter 2024,634.77,2.6,4.8,Emerging,Expensive
66,Mango,Boots,White,Cotton,Sporty,Women,Winter 2025,447.81,4.3,3.9,Outdated,Premium
67,North Face,Jacket,White,Down,Streetwear,Men,Winter 2023,365.88,9.0,4.0,Trending,Mid-range
68,Zara,Gloves,Beige,Fleece,Sporty,Men,Winter 2025,739.46,1.3,2.8,Outdated,Expensive
69,Uniqlo,Hoodie,Cream,Down,Casual,Women,Winter 2023,632.49,8.3,3.9,Outdated,Expensive
70,Mango,Scarf,Cream,Cashmere,Formal,Women,Winter 2023,487.93,9.8,3.5,Trending,Premium
71,Mango,Boots,Cream,Leather,Casual,Men,Winter 2024,690.95,7.3,4.0,Trending,Expensive
72,North Face,Cardigan,Red,Leather,Sporty,Women,Winter 2023,536.2,1.5,3.4,Classic,Premium
73,Prada,Jacket,Maroon,Polyester,Sporty,Women,Winter 2025,499.38,3.4,4.6,Trending,Premium
74,Adidas,Cardigan,Green,Polyester,Streetwear,Unisex,Winter 2025,771.33,5.4,3.6,Emerging,Expensive
75,H&M,Beanie,Beige,Cotton,Streetwear,Women,Winter 2025,575.38,5.0,4.4,Trending,Premium
76,Uniqlo,Beanie,Gray,Cashmere,Sporty,Women,Winter 2024,629.22,1.1,5.0,Outdated,Premium
77,Nike,Boots,Green,Cashmere,Streetwear,Men,Winter 2024,81.77,7.3,3.7,Emerging,Budget
78,North Face,Coat,Gray,Leather,Streetwear,Unisex,Winter 2024,351.42,9.9,3.6,Outdated,Mid-range
